,id,token0,token1,dailyTxns,dailySwapVolumeToken0,dailySwapVolumeToken1,tvlUSD,mintsCount,burnsCount,swapsCount,token0To1Txs,token0To1VolumeUSD,token1To0Txs,token1To0VolumeUSD,GrossVolumeUSD
20,0x6c6bc977e13df9b0de53b251522280bb72383700,DAI,USDC,77,3281741.787973491932435063,3281371.911403,238103468.6101185633186362620000001,16.0,10.0,51.0,21.0,1723400.5568309333,28.0,1558011.3897185568,3281411.94654949
21,0x69d91b94f0aaf8e8a2586909fa77a5c2c89818d5,HEX,USDC,441,151866849.51660947,4302139.929431,14010460.12148215098032548941648662,8.0,12.0,421.0,173.0,1798029.1220169992,248.0,2504110.807413998,4302139.929430997
22,0x735a26a57a0a0069dfabd41595a970faf5e1ee8b,agEUR,USDC,140,5294427.562805736861903159,5495270.592208,13805777.02908678934086533509076885,0.0,1.0,139.0,68.0,2458151.173321001,71.0,3037119.4188870005,5495270.592208002
23,0xc63b0708e2f7e69cb8a1df0e1389a98c35a76d52,FRAX,USDC,14,41455.301142827326986607,41430.352862,106524463.4682423168285360473514057,0.0,5.0,9.0,2.0,10487.19624,7.0,30943.156622,41430.352862
24,0x840deeef2f115cf50da625f7368c24af6fe74410,cbETH,WETH,116,3196.88896470494277846,3106.511389496207712483,7163423.136862828490344194791389019,6.0,5.0,105.0,80.0,2258744.461770477,25.0,1720256.5499850318,3979001.0117555084
25,0x4e0924d3a751be199c426d52fb1f2337fa96f736,LUSD,USDC,54,1371467.688510790836505935,1424160.349044,8504525.193854954600953381966160798,1.0,1.0,52.0,29.0,558552.5918990002,23.0,865607.757145,1424160.3490440003
26,0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,BUSD,USDC,7,9703.359752527380006811,9700.208001,25766917.11208674499453408265590201,2.0,2.0,3.0,2.0,7195.874976,1.0,2504.333025,9700.208000999999
27,0x9a834b70c07c81a9fcd6f22e842bf002fbffbe4d,FRAX,USDC,123,846992.194322417220449975,846506.54364,1760515.334611198391930777933304264,0.0,0.0,123.0,43.0,308715.316634,80.0,537791.2270060002,846506.5436400003
28,0x39529e96c28807655b5856b3d342c6225111770e,TUSD,USDC,36,860739.512129789726489628,860815.13462,10046790.248080878754070782,0.0,0.0,36.0,17.0,596773.1138523038,19.0,263965.86806410324,860738.9819164071
29,0x537a0a5654045c52ec45c4c86ed0c1ffe893809d,,USDC,25,1118589.948275,1111386.912559,2108526.023804352571343005782232865,0.0,0.0,25.0,18.0,528700.957596,7.0,582685.954963,1111386.912559
30,0x2f62f2b4c5fcd7570a709dec05d68ea19c82a9ec,SHIB,WETH,354,112142899340.241679588811631527,817.844058678459423615,5059736.013808412791382551920861106,25.0,27.0,302.0,161.0,603693.1197157903,141.0,436056.33876282553,1039749.4584786159
31,0xd83d78108dd0d1dffff11ea3f99871671a52488b,PAX,WETH,65,751000.315929784678327343,595.985726074581223629,2044759.423179929267950717779654288,0.0,2.0,63.0,31.0,497165.2374901494,31.0,254173.62349417305,751338.8609843224
32,0x9e0905249ceefffb9605e034b534544684a58be6,HEX,WETH,511,59751383.93623182,1305.948332723241991197,3774719.708298240659013161120953659,6.0,10.0,495.0,154.0,789569.8801532789,341.0,873847.2605561375,1663417.1407094165
33,0x5aa1356999821b533ec5d9f79c23b8cb7c295c61,GUSD,USDC,20,32293.31,32312.1061,54089.11003450535080734346305060581,0.0,1.0,19.0,7.0,14351.493883000001,12.0,17960.612216999998,32312.106099999997
34,0x92560c178ce069cc014138ed3c2f5221ba71f58a,WETH,ENS,215,1085.141488425661829566,98799.264038912784058167,5989655.35188495832181454990857573,2.0,8.0,205.0,108.0,638897.25427558,97.0,739291.4142774993,1378188.6685530795
35,0x1c5c60bef00c820274d4938a5e6d04b124d4910b,USDD,USDC,30,1917908.351375697147789139,1898305.455581,10859248.44279403587443620991092944,0.0,0.0,30.0,13.0,1078145.17588,17.0,820160.279701,1898305.455581
36,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC,WETH,36,1141203.132705,900.419013561252987052,26887081.95357038451603367837372562,3.0,6.0,27.0,26.0,1139285.3064545218,1.0,1269.836110780959,1140555.1425653028
37,0x4b5ab61593a2401b1075b90c04cbcdd3f87ce011,WETH,LOOKS,533,2103.092337414484803203,18845067.867240094226644285,8373509.831043051864765046267156134,5.0,6.0,522.0,315.0,1422264.3131726356,207.0,1252529.5745275002,2674793.887700136
38,0x24ee2c6b9597f035088cda8575e9d5e15a84b9df,QNT,WETH,307,8512.183922660154427295,797.085514088541962301,3969038.958715158005849526314193713,9.0,8.0,290.0,140.0,486745.3117345461,150.0,526695.061593761,1013440.3733283071
39,0xa4e0faa58465a2d369aa21b3e42d43374c6f9613,rETH,WETH,91,799.87002551767913547,861.357566096616121799,2155301.512855334828100638800431045,4.0,3.0,84.0,48.0,402912.85518797993,36.0,691463.9296774144,1094376.7848653942
40,0xfad57d2039c21811c8f2b5d5b65308aa99d31559,LINK,USDC,311,246309.484238093299895433,1857983.584435,1914591.77182935575789340552052683,7.0,6.0,298.0,132.0,807158.7417354812,166.0,1050451.378658588,1857610.1203940692
41,0xe8c6c9227491c0a8156a0106a0204d881bb7e531,MKR,WETH,162,2391.079224738983351931,1244.123434756746489874,11162776.20388197995891844201426393,4.0,4.0,154.0,99.0,894144.3392989928,55.0,694440.5951386223,1588584.934437615
42,0x95dbb3c7546f22bce375900abfdd64a4e5bd73d6,EUROC,USDC,35,823099.996747,855435.520363,1942904.226847921799361185538126126,2.0,2.0,31.0,14.0,319010.174306,17.0,536425.3460570001,855435.5203630001
43,0x8db1b906d47dfc1d84a87fc49bd0522e285b98b9,agEUR,WETH,114,503253.228005002166997922,410.846124295561491314,1786519.692192974127708313755005742,0.0,0.0,114.0,56.0,313239.79310404934,58.0,208359.41529032795,521599.20839437726
44,0x82c427adfdf2d245ec51d8046b41c4ee87f0d29c,WETH,oSQTH,240,1319.131183035389312252,25262.469803368103020625,2562180.77002080279374186363008247,19.0,19.0,202.0,109.0,1023197.1169242488,93.0,658794.60142592,1681991.7183501688
45,0xb0f4a77bde7fee134265307c5cc19abff0ba409b,CHZ,USDT,110,2090097.471082960013122041,341750.471869,1817174.035983121150042387058268035,0.0,0.0,110.0,47.0,165168.38658,63.0,176582.0881674693,341750.4747474693
46,0x9febc984504356225405e26833608b17719c82ae,1INCH,USDC,25,313622.969480863774457509,164322.018979,14586978.988006399304527530164078,0.0,0.0,25.0,14.0,81111.8677932188,11.0,83209.12377052632,164320.99156374513
47,0x6279653c28f138c8b31b8a0f6f8cd2c58e8c1705,XSGD,USDC,64,1344627.327492,981692.697824,5358301.126737329552273883849957301,0.0,0.0,64.0,23.0,402873.863392,41.0,578818.8344320001,981692.6978240001
48,0x29f0096512b4af1d689c1a11a867a6e707a8dcde,FUN,WETH,80,42749987.10739494,222.626605935586325711,3475202.677817415368205043577446956,0.0,0.0,80.0,55.0,167336.89748755726,25.0,117417.58507024204,284754.4825577993
49,0xc5af84701f98fa483ece78af83f11b6c38aca71d,WETH,USDT,29,559.65437550835215011,692316.13306,14737796.6296904773907386584497428,0.0,0.0,29.0,4.0,9322.648528364327,25.0,684276.237621118,693598.8861494823
