,Date,USDC,WETH,DAI,WBTC,USDT,FRAX,PAX,agEUR,APE,1INCH,BUSD,FEI,HEX,RAI,LOOKS,renBTC,MKR,LINK,ETH2x-FLI,MATIC,TUSD,EURS,CRV,NEXO,FUN,ENS,LUNA,MIM,LUSD
1627257600,2021-07-26,27274094166.297848,15356719607.79743,5296633444.691209,6866855710.49573,62035298715.44801,246031105.98620692,920787046.9131049,,,369937001.44790465,11917923557.97031,334755038.2140379,0.0,29094425.048127268,,438722607.5256933,2334598294.597847,7415877636.097328,52539128.288179114,6010481312.321131,1291367058.8110304,105471013.6117751,538012380.7527528,879011531.6533762,161470939.46270925,,,0.0,478659989.12494195
1627344000,2021-07-27,27048461699.123333,15549461237.170557,5307442591.72492,7218646305.334488,62186756799.6841,244866529.60447064,919130099.3664126,,,386325851.40159446,11942421138.48603,341704093.99206716,0.0,29677711.998328384,,469390215.34154046,2334379554.8568115,7991454885.261379,55789249.27272767,6509460343.988468,1243667055.4151273,104271088.36061704,538073190.0285965,909525118.1471703,156315514.96726602,,,0.0,474742047.63794315
1627430400,2021-07-28,27214470964.909294,15963981728.076109,5341667853.527498,7494248788.24201,62234987754.135956,245836655.58630133,921706604.9812033,,,396255565.0901003,12176449948.963514,345790939.461678,0.0,28557221.54109974,,492835375.2868362,2398925774.676116,8522057079.733305,57408122.89315264,6590638522.160324,1242035383.9184496,104295599.59999812,548093069.9324243,958864223.864855,158770323.17414066,,,0.0,481003862.71254534
1627516800,2021-07-29,27329563748.302,15973715401.726673,5367203898.437504,7712679542.215974,61826846626.10663,252802115.01436484,931574548.8809339,,,393038579.4687625,12234658585.350918,348133205.76249975,0.0,28556495.04652078,,507520626.0432737,2388717160.436368,8402001967.26247,58503653.105505735,6517715304.901737,1240410323.905644,104885568.84001379,540305103.8067096,993704187.7755485,170947016.49797115,,,0.0,480686806.6249123
1627603200,2021-07-30,27270295456.840073,16491054538.705849,5379942744.704049,7726895307.269608,62121870026.309555,253185197.2272236,921602931.9182123,,,406348627.9709037,12232347887.72481,351047924.1128467,0.0,29168650.503735226,,507484973.329385,2584318459.363484,8559160247.051825,62110670.108145244,6614278453.434437,1249107859.157373,105295862.15435037,572213388.8024588,1013721796.9354835,163525526.83946654,,,0.0,487898643.83552295
1627689600,2021-07-31,27488455660.52064,16987397459.016064,5391646532.785349,8020837702.245242,62114781308.95088,258685476.79697287,930511896.0439346,,,416434660.4486479,12371636912.642574,352690028.5431149,0.0,30612447.30601394,,521193072.99507207,2626489480.801471,9902916406.285923,67098154.12197472,6786082340.792125,1261941512.2973704,105258716.63447604,602506582.1514733,1046220398.1040564,165326101.560035,,,0.0,496229166.00563705
1627776000,2021-08-01,27319676910.389874,17411094243.54561,5394112979.477195,8045744712.148481,61982505061.26139,259959782.89881974,924005161.1092345,,,432485738.1873131,12255493469.105663,351685540.8894091,0.0,30711499.519321337,,530393479.91329014,2705096216.3830867,10151007353.33014,72635375.06317474,6987112715.804755,1254874957.6151905,104955377.40797214,607976675.0674715,1057916339.5171211,184949250.09623814,,,0.0,495320463.3630127
1627862400,2021-08-02,27312514187.17148,17442707777.142025,5409630448.010125,7656478862.912312,62277717172.19945,258988898.02512753,926882942.8696134,,,419220179.12852365,12102754444.602272,360532035.66676503,0.0,32976498.01723855,,511129003.47779226,2624977677.2494855,9737760811.636967,73887058.02766415,6717125196.707935,1248468544.6240704,104561983.53464615,588888251.9214615,1011101798.8672718,186370965.94462353,,,0.0,497768268.9108697
1627948800,2021-08-03,27402862312.035168,17949478577.234425,5434599923.623467,7573193208.300662,62235948822.67959,259978235.47880805,920397662.0033185,,,418985676.70793813,12149532325.649921,359810764.47005856,0.0,33483784.453609012,,509301397.5468567,2643096828.9452443,10469397728.583761,77272610.46004973,6776858668.855125,1258361311.2148368,105350661.8609507,581073481.1876258,1024971273.5316192,207875322.32246307,,,0.0,503799023.98590285
1628035200,2021-08-04,27477883848.604694,17039260569.069359,5448817221.724582,7393248888.662447,62418179896.02379,260579139.75641444,912912470.5104692,,,402818194.44900084,12057037711.635242,382823267.60689014,0.0,33612748.724951394,,507072054.6348774,2521853638.156183,10667314342.91932,71302671.88320072,6582077923.089085,1275595592.73604,105630550.26654263,560310712.280929,958087298.6514236,196404676.79993427,,,0.0,508540005.3064339
