,token0,token1,id,createdAtBlockNumber,createdAtTimestamp,feeTier
3393,"{'id': '0xa544103cacdb805051388995c0af541c0c259979', 'symbol': 'BALLER'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0xd4bfc21a4f63751d7b9c354ca4eaefadc2209fb5,12873609,1626921779,3000
3394,"{'id': '0xa46444c4fecf9e77cd314c928ca2469f3b3fda0f', 'symbol': 'LMAO'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x45c2c10504ec1eeece67734ae91fc55f9e67fa9b,12873737,1626923423,500
3395,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}","{'id': '0xe8d17542dfe79ff4fbd4b850f2d39dc69c4489a2', 'symbol': 'kMPL'}",0x33bac81136d8ec12b2a8542e2e8fe5b5d2faee7d,12873756,1626923761,10000
3396,"{'id': '0x77f0cc420dea0ae726db6bef1460a4b69176a8ea', 'symbol': 'CITIZEN'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0xf5d90ce04151979d0a7c8eaced8ed1419e190477,12873758,1626923776,10000
3397,"{'id': '0x6bd194658ab67d152bdad91d6615260872dd9537', 'symbol': 'GUIDE'}","{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT'}",0x525159d28df93feb37b0a77b5adc9c54728c0adb,12873831,1626924609,3000
3398,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}","{'id': '0xc3d91ffdf44eafc32a9e4489a4efe188489fc183', 'symbol': 'wUPX'}",0xa1f70d03b25d89787c3a0f8f287fe1c5534631a4,12873838,1626924705,10000
3399,"{'id': '0x177f2ace25f81fc50f9f6e9193adf5ac758e8098', 'symbol': 'KONG'}","{'id': '0x77f0cc420dea0ae726db6bef1460a4b69176a8ea', 'symbol': 'CITIZEN'}",0x62a00b8a78627b34d724f13d5dbf26c207121a61,12873895,1626925478,10000
3400,"{'id': '0x06576eb3b212d605b797dc15523d9dc9f4f66db4', 'symbol': 'TCP'}","{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC'}",0xac642c25267db0201e3dffbff878b88ad31f5174,12873941,1626926136,10000
3401,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT'}","{'id': '0xe33ae4e795114279721047484e5ad5cc7df24fcb', 'symbol': 'MCF'}",0xccfa3658b369093b6c5160a90d459307768bb66f,12874062,1626928044,3000
3402,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}","{'id': '0xf49cc1421fc5fcdb77089a9d7409916efa100109', 'symbol': 'JAEG1'}",0x953afcea202b5ab7be218095f931d91456da738f,12874094,1626928345,3000
