,day,symbol,deposit,borrow
1078,2021-03-10T00:00:00+00:00,USDC,235501837.5958553,230385719.0627913
1079,2021-03-09T00:00:00+00:00,USDC,247471990.66001686,230481628.10206664
1080,2021-03-08T00:00:00+00:00,USDC,247017505.1457365,239487764.99804133
1081,2021-03-07T00:00:00+00:00,USDC,241096150.0311429,230973016.09034932
1082,2021-03-06T00:00:00+00:00,USDC,263161244.65282685,234755556.92158467
1083,2021-03-05T00:00:00+00:00,USDC,265111533.1207221,225497976.2073406
1084,2021-03-04T00:00:00+00:00,USDC,269800408.1123702,232818840.44432697
1085,2021-03-03T00:00:00+00:00,USDC,256103563.00031772,233410764.2750995
1086,2021-03-02T00:00:00+00:00,USDC,253215964.61658716,228930932.3212452
1087,2021-03-01T00:00:00+00:00,USDC,260880513.30623525,230597011.2172271
1088,2021-02-28T00:00:00+00:00,USDC,254980661.5894712,205924421.69059682
1089,2021-02-27T00:00:00+00:00,USDC,224472996.67534745,204817877.12480444
1090,2021-02-26T00:00:00+00:00,USDC,227223772.90874815,197348728.9797531
1091,2021-02-25T00:00:00+00:00,USDC,218891622.4920269,200600623.3030122
1092,2021-02-24T00:00:00+00:00,USDC,214694323.6298532,197482738.50139388
1093,2021-02-23T00:00:00+00:00,USDC,213505876.4316106,195535614.05248463
1094,2021-02-22T00:00:00+00:00,USDC,222771888.11015972,202126175.8807521
1095,2021-02-21T00:00:00+00:00,USDC,212972634.0956741,193692984.7693535
1096,2021-02-20T00:00:00+00:00,USDC,207485262.384224,190653548.966714
1097,2021-02-19T00:00:00+00:00,USDC,194038571.05638307,177540906.94036138
1098,2021-02-18T00:00:00+00:00,USDC,193243669.18452913,178151178.3911699
1099,2021-02-17T00:00:00+00:00,USDC,187406809.95622644,177370574.31602222
1100,2021-02-16T00:00:00+00:00,USDC,183073756.10555372,168792899.6260985
1101,2021-02-15T00:00:00+00:00,USDC,177708540.82318553,166486139.1233473
1102,2021-02-14T00:00:00+00:00,USDC,178816806.87324995,159182083.4151757
1103,2021-02-13T00:00:00+00:00,USDC,167715237.54934645,152474190.11825016
1104,2021-02-12T00:00:00+00:00,USDC,156212629.99352807,145056297.65410283
1105,2021-02-11T00:00:00+00:00,USDC,154065526.75614575,141508599.40183115
1106,2021-02-10T00:00:00+00:00,USDC,139726150.89846304,132397606.10705717
1107,2021-02-09T00:00:00+00:00,USDC,133135473.61079326,127122712.70611325
1108,2021-02-08T00:00:00+00:00,USDC,129192257.24639618,126770593.66895375
1109,2021-02-07T00:00:00+00:00,USDC,124655297.15096097,111252874.6186023
1110,2021-02-06T00:00:00+00:00,USDC,123906208.01099207,108338691.02548969
1111,2021-02-05T00:00:00+00:00,USDC,118901637.65856914,109178889.79229014
1112,2021-02-04T00:00:00+00:00,USDC,112064152.78503488,106523985.67877527
1113,2021-02-03T00:00:00+00:00,USDC,112741465.86926177,104953032.8965104
1114,2021-02-02T00:00:00+00:00,USDC,107980344.38427196,102914299.23164798
