,id,token0,token1,dailyTxns,dailySwapVolumeToken0,dailySwapVolumeToken1,tvlUSD,mintsCount,burnsCount,swapsCount,token0To1Txs,token0To1VolumeUSD,token1To0Txs,token1To0VolumeUSD,GrossVolumeUSD
34,0xb07fe2f407f971125d4eb1977f8acee8846c7324,APE,USDC,38,7550.145346469593004311,52201.448692,1554920.189698507177683955060332542,0.0,0.0,38.0,22.0,30369.931224000004,16.0,21831.517468,52201.448692000005
35,0x8db1b906d47dfc1d84a87fc49bd0522e285b98b9,agEUR,WETH,69,826757.210485524442486025,450.753817140451347791,8085378.582231710529060630475135797,0.0,0.0,69.0,33.0,385925.0570542302,36.0,499622.03008599364,885547.0871402238
36,0x9febc984504356225405e26833608b17719c82ae,1INCH,USDC,13,69391.215089018551802693,68026.327048,4773385.035269328947636925628465851,0.0,1.0,12.0,7.0,44352.471029528984,5.0,24008.044089905317,68360.5151194343
37,0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,BUSD,USDC,34,247540.944357762197953161,247584.516071,23963430.040060726985880183929515,0.0,0.0,34.0,14.0,160769.834601,20.0,86814.68147000003,247584.51607100002
38,0x4c54ff7f1c424ff5487a32aad0b48b19cbaf087f,NEXO,WETH,109,504914.324159354639815309,333.289894947886445324,4982674.736423717117365474769121474,0.0,0.0,109.0,39.0,295250.91052243527,70.0,361309.25276553,656560.1632879653
39,0xa21ed0af81d7cdaebd06d1150c166821cfcd64ff,1INCH,USDT,60,6249403.636328209932467368,6075708.059254,21037809.30471168340890655091858435,0.0,0.0,60.0,57.0,5991369.352922113,3.0,118460.0312140003,6109829.384136113
40,0x290a6a7460b308ee3f19023d2d00de604bcf5b42,MATIC,WETH,142,1626377.488411642988985641,543.602153277152399117,11145976.09261476774262932854999527,2.0,5.0,135.0,58.0,475142.86608676566,77.0,594303.2344787633,1069446.100565529
41,0xbd5fdda17bc27bb90e37df7a838b1bfc0dc997f5,USDC,EURS,43,2491033.075923,2328133.65,9772815.326597082540330183537932275,0.0,0.0,43.0,5.0,178908.571475,38.0,2312124.504448,2491033.075923
42,0x39529e96c28807655b5856b3d342c6225111770e,TUSD,USDC,8,162571.761017381300274691,162577.758684,10061220.739226718940067088,0.0,0.0,8.0,4.0,32259.004566613054,4.0,130138.79682792591,162397.80139453895
43,0x151ccb92bc1ed5c6d0f9adb5cec4763ceb66ac7f,ETH2x-FLI,WETH,109,51304.881018960715832724,729.220927222958108508,11185549.6986506256932059562998707,4.0,3.0,102.0,69.0,766910.3423744098,33.0,675266.5056969577,1442176.8480713675
44,0x298b7c5e0770d151e4c5cf6cca4dae3a3ffc8e27,MIM,USDC,11,149617.420721921550793664,149350.601862,888287.8792446921173870715779745461,0.0,0.0,11.0,8.0,129169.453188,3.0,20181.148674000004,149350.601862
45,0xef9a9283440b2d7efb9c7dcc17e94e234d5ccccd,sILV2,WETH,365,19174.170017984483085002,1645.74035883434027229,3599570.83598231644947547746987917,14.0,16.0,335.0,127.0,1557612.1515733942,208.0,1661753.218019518,3219365.3695929125
46,0x4c83a7f819a5c37d64b4c5a2f8238ea082fa1f4e,WETH,CRV,68,363.050578482011916504,517166.53371954046241694,7758415.742750699695084132654026569,2.0,5.0,61.0,35.0,399129.60244520765,26.0,313470.1818344628,712599.7842796704
47,0xb65fc555b0e970b16329a48e45cfa14fce9a36a4,DAI,PAX,4,114507.684352564296495702,114485.232729750766933656,5022231.594888008360336209109834947,0.0,0.0,4.0,4.0,114507.6843525643,0.0,0.0,114507.6843525643
48,0x4e0924d3a751be199c426d52fb1f2337fa96f736,LUSD,USDC,7,161119.396502949114029682,162102.378947,742392.6328970396425623314003390234,0.0,0.0,7.0,4.0,62914.293814000004,3.0,99188.085133,162102.37894700002
49,0x29f0096512b4af1d689c1a11a867a6e707a8dcde,FUN,WETH,65,84362841.53214597,392.767761251793311245,4895383.605967592787285549149991405,0.0,0.0,65.0,28.0,324087.87123866763,37.0,448750.93450054555,772838.8057392132
