,day,symbol,deposit,borrow
2727,2021-09-19T00:00:00+00:00,WETH,6537979537.646184,154453189.97499576
2728,2021-09-18T00:00:00+00:00,WETH,6459566928.7034,144291134.59214932
2729,2021-09-17T00:00:00+00:00,WETH,6770643111.9735,155028194.62076053
2730,2021-09-16T00:00:00+00:00,WETH,6845637416.620373,155324847.12593699
2731,2021-09-15T00:00:00+00:00,WETH,6537092350.760146,282370764.76456594
2732,2021-09-14T00:00:00+00:00,WETH,6270980483.237516,272294496.67177206
2733,2021-09-13T00:00:00+00:00,WETH,6472073955.018046,277824622.75521624
2734,2021-09-12T00:00:00+00:00,WETH,6210997330.819117,263223121.7550877
2735,2021-09-11T00:00:00+00:00,WETH,6194528333.719387,253840607.45139742
2736,2021-09-10T00:00:00+00:00,WETH,6605592817.265878,274116417.0321043
2737,2021-09-09T00:00:00+00:00,WETH,6568889708.558479,274832527.4503424
2738,2021-09-08T00:00:00+00:00,WETH,6409826211.226415,271847241.10066515
2739,2021-09-07T00:00:00+00:00,WETH,7525773546.983821,316978974.06363976
2740,2021-09-06T00:00:00+00:00,WETH,7802236229.559007,318257914.1706359
2741,2021-09-05T00:00:00+00:00,WETH,7732167175.024188,317009027.79096466
2742,2021-09-04T00:00:00+00:00,WETH,7797751306.595881,322829796.96463823
2743,2021-09-03T00:00:00+00:00,WETH,7527038212.230304,330248515.5530174
2744,2021-09-02T00:00:00+00:00,WETH,7562161882.846515,332400679.1964203
2745,2021-09-01T00:00:00+00:00,WETH,6754547819.878744,296187528.63847244
2746,2021-08-31T00:00:00+00:00,WETH,6366954758.1411705,280482155.93844664
2747,2021-08-30T00:00:00+00:00,WETH,6367374580.617549,281606756.8421758
2748,2021-08-29T00:00:00+00:00,WETH,6148534005.579665,280788198.8020733
2749,2021-08-28T00:00:00+00:00,WETH,6209010416.362226,283004962.5334969
2750,2021-08-27T00:00:00+00:00,WETH,5898850970.702307,269134589.3355811
2751,2021-08-26T00:00:00+00:00,WETH,6131405173.23747,283678097.1575607
2752,2021-08-25T00:00:00+00:00,WETH,6009115026.66241,278746607.71615046
2753,2021-08-24T00:00:00+00:00,WETH,6227410912.417445,284922443.7615827
2754,2021-08-23T00:00:00+00:00,WETH,6136530536.143061,278916016.4580918
2755,2021-08-22T00:00:00+00:00,WETH,6131566273.31596,278202996.2978569
2756,2021-08-21T00:00:00+00:00,WETH,6248385770.221664,280977861.82682675
2757,2021-08-20T00:00:00+00:00,WETH,6051929362.501468,258382271.4834483
2758,2021-08-19T00:00:00+00:00,WETH,5450584927.442261,259017931.1917328
2759,2021-08-18T00:00:00+00:00,WETH,5507712510.882737,253630492.2232204
2760,2021-08-17T00:00:00+00:00,WETH,5725373714.629266,264524167.829576
2761,2021-08-16T00:00:00+00:00,WETH,6068482085.10154,278011688.66999257
2762,2021-08-15T00:00:00+00:00,WETH,6057993238.853693,272092255.2090844
2763,2021-08-14T00:00:00+00:00,WETH,6169134542.110293,283353216.5697158
2764,2021-08-13T00:00:00+00:00,WETH,5410442381.548672,264654335.36220494
2765,2021-08-12T00:00:00+00:00,WETH,5560806609.579322,273502877.7056165
2766,2021-08-11T00:00:00+00:00,WETH,5567641528.661153,272793095.34948164
2767,2021-08-10T00:00:00+00:00,WETH,5628433523.823013,274686900.13297415
2768,2021-08-09T00:00:00+00:00,WETH,5398788853.475136,260846634.34029534
2769,2021-08-08T00:00:00+00:00,WETH,5628833132.382731,271611287.2411966
2770,2021-08-07T00:00:00+00:00,WETH,5175705594.829041,249966458.42295706
2771,2021-08-06T00:00:00+00:00,WETH,5046448767.098206,241743256.74831638
2772,2021-08-05T00:00:00+00:00,WETH,4897077851.681651,239318771.53217986
2773,2021-08-04T00:00:00+00:00,WETH,4433145553.446505,201819289.3771506
2774,2021-08-03T00:00:00+00:00,WETH,4627862844.720149,211126368.3941537
2775,2021-08-02T00:00:00+00:00,WETH,4558056778.819805,206139472.3107238
2776,2021-08-01T00:00:00+00:00,WETH,4508359130.630101,199669284.99315053
2777,2021-07-31T00:00:00+00:00,WETH,4450868433.23601,196671261.31513205
2778,2021-07-30T00:00:00+00:00,WETH,4247219339.752436,190180941.52505973
2779,2021-07-29T00:00:00+00:00,WETH,4079750915.259403,176629397.46052197
2780,2021-07-28T00:00:00+00:00,WETH,4104632775.4147005,174644313.5843634
2781,2021-07-27T00:00:00+00:00,WETH,3974696818.3404593,168754302.1850933
2782,2021-07-26T00:00:00+00:00,WETH,3952769572.3328066,165510992.85407442
2783,2021-07-25T00:00:00+00:00,WETH,3844580826.3606844,165774092.70214912
2784,2021-07-24T00:00:00+00:00,WETH,3771446355.3345776,160387162.56350103
2785,2021-07-23T00:00:00+00:00,WETH,3614699451.143795,156026457.3328348
2786,2021-07-22T00:00:00+00:00,WETH,3550831031.836594,152354559.9346825
2787,2021-07-21T00:00:00+00:00,WETH,3182823708.2841353,131646536.61131057
2788,2021-07-20T00:00:00+00:00,WETH,3222018297.7683845,139129852.52911508
2789,2021-07-19T00:00:00+00:00,WETH,3318642922.3410163,146326769.40572837
