Date,herfindahl_volume,herfindahl_inflow_centrality,herfindahl_outflow_centrality,herfindahl_betweenness_centrality_count,herfindahl_betweenness_centrality_volume,herfindahl_tvl,total_volumes,S&P,S&P_volatility,Gas_fee,Gas_fee_volatility,boom,bust
2016-01-16,,,,,,,,,,6.728365968572001e-08,0.07954334026777264,0,0
2016-01-17,,,,,,,,,,7.005581526194002e-08,0.07933826832988325,0,0
2016-01-18,,,,,,,,,,7.930047429213e-08,0.08149011982373583,0,0
2016-01-19,,,,,,,,,,7.366130610366001e-08,0.08301698080746252,0,0
2016-01-20,,,,,,,,,,8.525407331997002e-08,0.08628764796479502,0,0
2016-01-21,,,,,,,,,,9.338449714286e-08,0.08692295504616408,0,0
2016-01-22,,,,,,,,,,8.541677855904e-08,0.08930550864363418,0,0
2016-01-23,,,,,,,,,,1.1267364614961e-07,0.09975237951535344,0,0
2016-01-24,,,,,,,,,,1.2379795797390002e-07,0.10041981411318746,0,0
2016-01-25,,,,,,,,,,1.4188105245750002e-07,0.10162815360353716,0,0
2016-01-26,,,,,,,,,,1.35597327655e-07,0.09668821249083757,0,0
2016-01-27,,,,,,,,,,1.4202265192742e-07,0.0820549152786246,0,0
2016-01-28,,,,,,,,,,1.432596668964e-07,0.08221898399383072,0,0
2016-01-29,,,,,,,,,,1.4341582521247005e-07,0.08190225549065479,0,0
2016-01-30,,,,,,,,,,1.6329297635343005e-07,0.08370482972872427,0,0
2016-01-31,,,,,,,,,,1.4639894898860006e-07,0.08641824809987615,0,0
2016-02-01,,,,,,,,,,1.4358911124950002e-07,0.08625609488318337,0,0
2016-02-02,,,,,,,,,,1.6112083847545002e-07,0.08747399905540103,0,0
2016-02-03,,,,,,,,,,1.6227106880116004e-07,0.08724624788208798,0,0
2016-02-04,,,,,,,,,,1.8866117889939e-07,0.08959420474796503,0,0
2016-02-05,,,,,,,,,,1.7544636191758005e-07,0.09047903765029619,0,0
2016-02-06,,,,,,,,,,3.3374947676961e-07,0.14165743075754683,0,0
2016-02-07,,,,,,,,,,2.450230383900001e-07,0.157106978206491,0,0
2016-02-08,,,,,,,,,,2.5426851131636004e-07,0.15671580688002992,0,0
2016-02-09,,,,,,,,,,4.6815818248416e-07,0.1864301913799338,0,0
2016-02-10,,,,,,,,,,6.1516486602735e-07,0.18998110609389474,0,0
2016-02-11,,,,,,,,,,4.2380094531566e-07,0.2062241110357477,0,0
2016-02-12,,,,,,,,,,3.309547416294e-07,0.21338682300414394,0,0
2016-02-13,,,,,,,,,,3.0134665756368e-07,0.21460543569189153,0,0
2016-02-14,,,,,,,,,,2.780936111876001e-07,0.21579349147436092,0,0
2016-02-15,,,,,,,,,,2.9643553390032e-07,0.2151598046653862,0,0
2016-02-16,,,,,,,,,,2.3721201932775e-07,0.22083516644783366,0,0
2016-02-17,,,,,,,,,,2.1076326045542e-07,0.2221078325486908,0,0
2016-02-18,,,,,,,,,,2.3768091390008002e-07,0.22172802194339578,0,0
2016-02-19,,,,,,,,,,2.430065862624e-07,0.22081638049813643,0,0
2016-02-20,,,,,,,,,,2.3501090241980006e-07,0.22089460894245894,0,0
2016-02-21,,,,,,,,,,2.5120134930131e-07,0.21980618464334808,0,0
2016-02-22,,,,,,,,,,3.336366912424e-07,0.2200683635233856,0,0
2016-02-23,,,,,,,,,,3.477961437297e-07,0.21979996067459523,0,0
2016-02-24,,,,,,,,,,3.624449292443701e-07,0.21896378522801616,0,0
2016-02-25,,,,,,,,,,3.407625250164001e-07,0.21918170159628686,0,0
2016-02-26,,,,,,,,,,3.2924345468373e-07,0.21947875778419956,0,0
2016-02-27,,,,,,,,,,3.4142311791825e-07,0.2194527354531718,0,0
2016-02-28,,,,,,,,,,3.514716567895e-07,0.21938970767405908,0,0
2016-02-29,,,,,,,,,,3.7094472560970003e-07,0.21863416498630345,0,0
2016-03-01,,,,,,,,,,4.5305418766344e-07,0.2192608805082046,0,0
2016-03-02,,,,,,,,,,5.85705731643e-07,0.22255690420524155,0,0
2016-03-03,,,,,,,,,,5.287045930617e-07,0.22379509767360764,0,0
2016-03-04,,,,,,,,,,5.3411595770316e-07,0.22378042972232676,0,0
2016-03-05,,,,,,,,,,5.223890339470001e-07,0.22304897452588654,0,0
2016-03-06,,,,,,,,,,5.189232066832801e-07,0.22228604790250248,0,0
2016-03-07,,,,,,,,,,4.79188016613e-07,0.1912376350849446,0,0
2016-03-08,,,,,,,,,,5.295331594248801e-07,0.18190785428288483,0,0
2016-03-09,,,,,,,,,,4.399351075581001e-07,0.18591718679925615,0,0
2016-03-10,,,,,,,,,,3.3557125115217e-07,0.1564074870588682,0,0
2016-03-11,,,,,,,,,,3.266510928075001e-07,0.14691378863335774,0,0
2016-03-12,,,,,,,,,,3.8686570782075e-07,0.1350323498439576,0,0
2016-03-13,,,,,,,,,,4.623144057300001e-07,0.13077043115023043,0,0
2016-03-14,,,,,,,,,,3.563749376625e-07,0.13867173964336452,0,0
2016-03-15,,,,,,,,,,3.4481867773584e-07,0.1379279784764776,0,0
2016-03-16,,,,,,,,,,3.297694229921601e-07,0.1378122948231827,0,0
