node,date,betweenness_centrality_count,betweenness_centrality_volume
HXY,2020/6/29,0,0
DMG,2020/6/29,0,0
LINK,2020/6/29,0,0
AMPL,2020/6/29,0,0
DAI,2020/6/29,0,0
LRC,2020/6/29,0,0
sXAU,2020/6/29,0,0
WETH,2020/6/30,0.101097734,0.144407454
USDC,2020/6/30,0.018767705,0.016217613
DZAR,2020/6/30,0.000531161,0.000357101
DMG,2020/6/30,0,0
RPL,2020/6/30,0,0
UMA,2020/6/30,0,0
LRC,2020/6/30,0,0
WBTC,2020/6/30,0,0
UBT,2020/6/30,0,0
MKR,2020/6/30,0,0
REP,2020/6/30,0,0
REN,2020/6/30,0,0
KNC,2020/6/30,0,0
HXY,2020/6/30,0,0
LEND,2020/6/30,0,0
ANT,2020/6/30,0,0
BAT,2020/6/30,0,0
AMPL,2020/6/30,0,0
LINK,2020/6/30,0,0
USDT,2020/6/30,0,0
COMP,2020/6/30,0,0
DAI,2020/6/30,0,0
sXAU,2020/6/30,0,0
WETH,2020/7/1,0.102739127,0.105920612
USDC,2020/7/1,0.013739389,0.023520339
USDT,2020/7/1,0.001837753,0.000157624
DZAR,2020/7/1,0.000262536,0.000103244
ANT,2020/7/1,0,0
KNC,2020/7/1,0,0
SNX,2020/7/1,0,0
REP,2020/7/1,0,0
CEL,2020/7/1,0,0
MKR,2020/7/1,0,0
LOOM,2020/7/1,0,0
STA,2020/7/1,0,0
CHSB,2020/7/1,0,0
RLC,2020/7/1,0,0
CBIX7,2020/7/1,0,0
WBTC,2020/7/1,0,0
JRT,2020/7/1,0,0
OCEAN,2020/7/1,0,0
RING,2020/7/1,0,0
FRM,2020/7/1,0,0
CID,2020/7/1,0,0
XIO,2020/7/1,0,0
cDAI,2020/7/1,0,0
LIT,2020/7/1,0,0
RPL,2020/7/1,0,0
PAMP,2020/7/1,0,0
XOR,2020/7/1,0,0
VLT,2020/7/1,0,0
DMG,2020/7/1,0,0
HEX,2020/7/1,0,0
LRC,2020/7/1,0,0
LEND,2020/7/1,0,0
HEX2T,2020/7/1,0,0
LINK,2020/7/1,0,0
RSR,2020/7/1,0,0
REN,2020/7/1,0,0
DAI,2020/7/1,0,0
UMA,2020/7/1,0,0
UBT,2020/7/1,0,0
COMP,2020/7/1,0,0
FMA,2020/7/1,0,0
AMPL,2020/7/1,0,0
ESWA,2020/7/1,0,0
ALEPH,2020/7/1,0,0
BAT,2020/7/1,0,0
GEN,2020/7/1,0,0
BNT,2020/7/1,0,0
PLR,2020/7/1,0,0
WETH,2020/7/2,0.102491694,0.118258308
USDC,2020/7/2,0.019019934,0.016252694
USDT,2020/7/2,0.00166113,0.000174176
DZAR,2020/7/2,0.000249169,0.000251165
RLC,2020/7/2,0,0
XIO,2020/7/2,0,0
HEX,2020/7/2,0,0
LRC,2020/7/2,0,0
FMA,2020/7/2,0,0
HEX2T,2020/7/2,0,0
PAMP,2020/7/2,0,0
UBT,2020/7/2,0,0
CEL,2020/7/2,0,0
CID,2020/7/2,0,0
REP,2020/7/2,0,0
KNC,2020/7/2,0,0
LOOM,2020/7/2,0,0
CHSB,2020/7/2,0,0
ANT,2020/7/2,0,0
RING,2020/7/2,0,0
PLR,2020/7/2,0,0
JRT,2020/7/2,0,0
LIT,2020/7/2,0,0
cDAI,2020/7/2,0,0
GEN,2020/7/2,0,0
DAI,2020/7/2,0,0
ALEPH,2020/7/2,0,0
WBTC,2020/7/2,0,0
DMG,2020/7/2,0,0
BNT,2020/7/2,0,0
XOR,2020/7/2,0,0
COMP,2020/7/2,0,0
SNX,2020/7/2,0,0
RSR,2020/7/2,0,0
RPL,2020/7/2,0,0
OCEAN,2020/7/2,0,0
UMA,2020/7/2,0,0
VLT,2020/7/2,0,0
AMPL,2020/7/2,0,0
BAT,2020/7/2,0,0
MKR,2020/7/2,0,0
REN,2020/7/2,0,0
STA,2020/7/2,0,0
FRM,2020/7/2,0,0
ESWA,2020/7/2,0,0
LEND,2020/7/2,0,0
LINK,2020/7/2,0,0
CBIX7,2020/7/2,0,0
WETH,2020/7/3,0.109655832,0.127108911
USDC,2020/7/3,0.01500956,0.013257023
USDT,2020/7/3,0.00124283,9.87E-05
DZAR,2020/7/3,0.000478011,0.00022206
STA,2020/7/3,0,0
ESWA,2020/7/3,0,0
CHSB,2020/7/3,0,0
UMA,2020/7/3,0,0
CID,2020/7/3,0,0
OCEAN,2020/7/3,0,0
